id,account_id,project_id,date
261,245,15,2021-10-26
503,246,38,2021-11-01
504,246,26,2021-11-01
505,246,17,2021-11-01
506,247,14,2021-11-01
507,247,17,2021-11-01
266,246,12,2021-10-26
508,247,15,2021-11-01
510,247,27,2021-11-01
512,248,15,2021-11-01
513,248,30,2021-11-01
514,248,38,2021-11-01
271,247,17,2021-10-26
515,248,35,2021-11-01
516,248,41,2021-11-01
2629,204,5,2022-04-01
519,249,26,2021-11-01
520,249,31,2021-11-01
276,248,15,2021-10-27
521,249,2,2021-11-01
523,251,8,2021-11-02
524,251,22,2021-11-02
525,251,41,2021-11-02
527,251,42,2021-11-02
2633,204,3,2022-04-01
597,123,3,2021-11-30
2625,71,10,2022-04-01
533,250,42,2021-11-04
534,250,8,2021-11-04
535,250,44,2021-11-04
536,250,14,2021-11-04
2626,78,15,2022-04-01
287,249,23,2021-10-29
590,123,8,2021-11-30
591,123,40,2021-11-30
592,123,30,2021-11-30
593,123,15,2021-11-30
594,123,10,2021-11-30
595,123,12,2021-11-30
598,123,4,2021-11-30
599,123,21,2021-11-30
600,123,20,2021-11-30
601,123,27,2021-11-30
602,123,11,2021-11-30
603,123,22,2021-11-30
604,123,31,2021-11-30
605,123,32,2021-11-30
606,123,33,2021-11-30
607,123,34,2021-11-30
608,123,35,2021-11-30
609,123,38,2021-11-30
610,123,37,2021-11-30
611,123,44,2021-11-30
612,123,2,2021-11-30
613,123,17,2021-11-30
614,123,6,2021-11-30
615,123,28,2021-11-30
616,123,29,2021-11-30
617,123,39,2021-11-30
618,123,5,2021-11-30
619,123,45,2021-11-30
620,123,47,2021-11-30
621,123,1,2021-11-30
622,123,42,2021-11-30
623,123,23,2021-11-30
624,123,26,2021-11-30
625,123,25,2021-11-30
626,123,41,2021-11-30
566,259,4,2021-11-18
628,259,11,2021-12-01
567,259,11,2021-11-18
629,2,25,2021-12-01
627,259,4,2021-12-01
554,39,41,2021-11-15
556,1,17,2021-11-16
559,1,8,2021-11-16
560,1,10,2021-11-16
579,38,17,2021-11-24
588,157,12,2021-11-29
472,228,17,2021-11-01
537,250,40,2021-11-04
539,253,33,2021-11-04
540,253,2,2021-11-04
541,253,42,2021-11-04
542,253,47,2021-11-04
544,244,42,2021-11-05
545,244,23,2021-11-05
553,254,10,2021-11-12
463,231,23,2021-11-01
511,243,23,2021-11-01
517,249,23,2021-11-01
583,201,2,2021-11-25
584,201,22,2021-11-25
587,201,5,2021-11-25
570,263,34,2021-11-22
571,262,41,2021-11-23
574,264,14,2021-11-23
632,39,12,2021-12-01
633,39,44,2021-12-01
634,200,23,2021-12-01
635,184,17,2021-12-01
636,184,25,2021-12-01
637,184,42,2021-12-01
638,184,26,2021-12-01
639,184,44,2021-12-01
640,2,17,2021-12-01
2638,78,11,2022-04-01
2634,204,1,2022-04-01
2635,78,5,2022-04-01
644,38,40,2021-12-01
645,38,31,2021-12-01
646,157,11,2021-12-01
647,200,1,2021-12-01
648,200,22,2021-12-01
649,200,25,2021-12-01
650,200,26,2021-12-01
652,39,41,2021-12-01
2639,78,2,2022-04-01
641,39,30,2021-12-01
653,1,17,2021-12-01
654,1,5,2021-12-01
558,1,5,2021-11-16
655,1,8,2021-12-01
656,1,10,2021-12-01
658,38,17,2021-12-01
630,157,30,2021-12-01
659,38,38,2021-12-01
581,38,38,2021-11-24
661,157,12,2021-12-01
663,164,5,2021-12-01
666,218,2,2021-12-01
667,218,10,2021-12-01
668,218,6,2021-12-01
669,75,1,2021-12-01
670,207,25,2021-12-01
671,218,5,2021-12-01
672,218,11,2021-12-01
673,219,14,2021-12-01
674,219,8,2021-12-01
675,219,25,2021-12-01
676,219,17,2021-12-01
677,224,8,2021-12-01
678,224,6,2021-12-01
679,224,1,2021-12-01
680,224,2,2021-12-01
681,71,17,2021-12-01
683,219,5,2021-12-01
684,224,12,2021-12-01
685,71,2,2021-12-01
686,71,10,2021-12-01
687,78,15,2021-12-01
688,75,25,2021-12-01
689,69,8,2021-12-01
690,204,5,2021-12-01
691,204,17,2021-12-01
692,207,5,2021-12-01
693,207,3,2021-12-01
694,207,6,2021-12-01
695,204,3,2021-12-01
696,204,1,2021-12-01
697,208,8,2021-12-01
698,164,17,2021-12-01
700,78,5,2021-12-01
701,176,11,2021-12-01
702,176,2,2021-12-01
703,78,11,2021-12-01
704,78,2,2021-12-01
705,207,1,2021-12-01
709,190,3,2021-12-01
710,190,17,2021-12-01
711,190,1,2021-12-01
712,190,8,2021-12-01
713,81,1,2021-12-01
714,133,8,2021-12-01
715,70,1,2021-12-01
716,81,2,2021-12-01
718,77,3,2021-12-01
719,75,17,2021-12-01
720,130,10,2021-12-01
721,132,11,2021-12-01
723,72,12,2021-12-01
724,81,4,2021-12-01
725,137,8,2021-12-01
727,130,5,2021-12-01
728,77,1,2021-12-01
729,81,17,2021-12-01
730,70,5,2021-12-01
731,69,1,2021-12-01
732,130,2,2021-12-01
734,140,17,2021-12-01
735,69,5,2021-12-01
736,132,4,2021-12-01
737,77,17,2021-12-01
738,133,2,2021-12-01
409,77,1,2021-11-01
740,94,10,2021-12-01
742,130,1,2021-12-01
743,87,8,2021-12-01
744,140,1,2021-12-01
745,132,3,2021-12-01
746,133,3,2021-12-01
747,70,17,2021-12-01
416,69,5,2021-11-01
752,87,5,2021-12-01
753,69,17,2021-12-01
754,130,17,2021-12-01
755,142,17,2021-12-01
756,87,3,2021-12-01
757,190,10,2021-12-01
759,87,1,2021-12-01
424,130,1,2021-11-01
760,132,17,2021-12-01
761,70,2,2021-12-01
762,94,4,2021-12-01
763,94,1,2021-12-01
764,133,1,2021-12-01
434,77,2,2021-11-01
443,87,3,2021-11-01
453,94,1,2021-11-01
768,229,3,2021-12-01
769,229,1,2021-12-01
771,231,15,2021-12-01
460,230,8,2021-11-01
881,157,37,2021-12-01
772,231,2,2021-12-01
773,231,31,2021-12-01
774,231,32,2021-12-01
775,233,26,2021-12-01
776,233,15,2021-12-01
777,233,34,2021-12-01
468,233,34,2021-11-01
778,233,27,2021-12-01
779,233,29,2021-12-01
780,228,26,2021-12-01
781,228,17,2021-12-01
782,228,25,2021-12-01
473,228,25,2021-11-01
783,137,17,2021-12-01
784,137,25,2021-12-01
785,137,2,2021-12-01
786,239,30,2021-12-01
787,239,17,2021-12-01
788,239,41,2021-12-01
789,239,26,2021-12-01
481,239,26,2021-11-01
791,137,42,2021-12-01
766,229,17,2021-12-01
792,242,40,2021-12-01
793,242,20,2021-12-01
794,242,37,2021-12-01
795,242,12,2021-12-01
796,242,42,2021-12-01
488,242,42,2021-11-01
797,235,3,2021-12-01
798,235,44,2021-12-01
799,244,40,2021-12-01
800,243,4,2021-12-01
801,244,22,2021-12-01
802,245,10,2021-12-01
803,245,42,2021-12-01
495,245,42,2021-11-01
804,245,23,2021-12-01
805,245,15,2021-12-01
806,245,3,2021-12-01
807,243,22,2021-12-01
808,243,42,2021-12-01
814,247,14,2021-12-01
767,229,8,2021-12-01
502,246,12,2021-11-01
815,247,17,2021-12-01
816,247,15,2021-12-01
817,247,21,2021-12-01
818,247,27,2021-12-01
819,248,15,2021-12-01
820,248,30,2021-12-01
821,248,38,2021-12-01
509,247,21,2021-11-01
822,248,35,2021-12-01
823,248,41,2021-12-01
828,251,8,2021-12-01
829,251,22,2021-12-01
830,251,41,2021-12-01
831,251,44,2021-12-01
832,251,42,2021-12-01
518,249,25,2021-11-01
833,250,42,2021-12-01
834,250,8,2021-12-01
835,250,44,2021-12-01
836,250,14,2021-12-01
837,250,40,2021-12-01
838,253,10,2021-12-01
839,253,33,2021-12-01
526,251,44,2021-11-02
840,253,2,2021-12-01
841,253,42,2021-12-01
842,253,47,2021-12-01
843,244,35,2021-12-01
844,244,42,2021-12-01
845,244,23,2021-12-01
846,254,10,2021-12-01
538,253,10,2021-11-04
847,231,23,2021-12-01
848,239,23,2021-12-01
849,243,23,2021-12-01
851,201,2,2021-12-01
852,201,22,2021-12-01
543,244,35,2021-11-05
853,201,26,2021-12-01
855,201,5,2021-12-01
869,94,40,2021-12-01
870,94,3,2021-12-01
871,92,10,2021-12-01
478,239,23,2021-11-01
872,92,42,2021-12-01
873,92,12,2021-12-01
874,92,22,2021-12-01
875,92,31,2021-12-01
876,267,33,2021-12-01
585,201,26,2021-11-25
877,267,10,2021-12-01
878,267,22,2021-12-01
879,267,5,2021-12-01
857,262,41,2021-12-01
858,264,10,2021-12-01
573,264,10,2021-11-23
859,264,14,2021-12-01
860,264,21,2021-12-01
575,264,21,2021-11-23
861,264,11,2021-12-01
576,264,11,2021-11-23
863,266,17,2021-12-01
577,264,5,2021-11-23
864,266,47,2021-12-01
856,263,34,2021-12-01
865,266,34,2021-12-01
866,266,41,2021-12-01
867,266,6,2021-12-01
884,268,2,2021-12-01
885,268,32,2021-12-01
886,268,35,2021-12-01
887,268,8,2021-12-01
889,269,45,2021-12-02
890,269,17,2021-12-02
891,272,32,2021-12-02
892,271,5,2021-12-02
2641,190,3,2022-04-01
947,177,8,2021-12-03
948,177,5,2021-12-03
949,177,42,2021-12-03
950,177,22,2021-12-03
951,177,3,2021-12-03
952,228,8,2021-12-03
1006,298,44,2021-12-10
1007,298,40,2021-12-10
1008,298,17,2021-12-10
1009,298,14,2021-12-10
1011,204,44,2021-12-13
1012,300,42,2021-12-13
1013,300,10,2021-12-13
1014,300,25,2021-12-13
1016,300,33,2021-12-13
1020,304,17,2021-12-14
1021,304,26,2021-12-14
1022,304,41,2021-12-14
1024,304,2,2021-12-14
1047,201,33,2021-12-21
1048,78,27,2021-12-21
894,271,32,2021-12-02
896,269,35,2021-12-02
897,271,31,2021-12-02
898,272,2,2021-12-02
899,274,35,2021-12-02
901,274,30,2021-12-02
902,272,23,2021-12-02
903,274,34,2021-12-02
904,272,42,2021-12-02
906,274,26,2021-12-02
907,272,3,2021-12-02
908,271,42,2021-12-02
909,275,32,2021-12-02
911,275,2,2021-12-02
912,275,34,2021-12-02
913,275,3,2021-12-02
914,278,44,2021-12-02
916,278,25,2021-12-02
917,278,31,2021-12-02
918,278,38,2021-12-02
919,280,44,2021-12-02
921,280,34,2021-12-02
922,280,39,2021-12-02
923,280,6,2021-12-02
924,281,10,2021-12-02
926,281,25,2021-12-02
927,281,5,2021-12-02
928,281,42,2021-12-02
929,276,17,2021-12-03
931,276,41,2021-12-03
932,283,27,2021-12-03
933,284,15,2021-12-03
934,284,14,2021-12-03
936,284,17,2021-12-03
937,284,32,2021-12-03
938,283,20,2021-12-03
939,285,34,2021-12-03
941,283,41,2021-12-03
942,285,33,2021-12-03
943,283,44,2021-12-03
944,285,2,2021-12-03
946,285,21,2021-12-03
954,286,42,2021-12-06
955,286,2,2021-12-06
956,286,3,2021-12-06
958,286,5,2021-12-06
959,287,41,2021-12-06
960,287,17,2021-12-06
961,287,45,2021-12-06
963,287,2,2021-12-06
964,288,42,2021-12-06
965,288,2,2021-12-06
966,288,6,2021-12-06
